ind,pop,taxon
BST-21-38-06,BST-21-38-,6
BST-21-38-07,BST-21-38-,7
BST-21-38-08,BST-21-38-,8
BST-21-38-11,BST-21-38-,1
BST-21-38-12,BST-21-38-,2
BST-21-38-16,BST-21-38-,6
BST-21-38-17,BST-21-38-,7
BST-21-38-18,BST-21-38-,8
BST-21-38-19,BST-21-38-,9
BST-21-40-02,BST-21-40-,2
BST-21-40-03,BST-21-40-,3
BST-21-40-06,BST-21-40-,6
BST-21-40-08,BST-21-40-,8
BST-21-40-09,BST-21-40-,9
BST-21-40-10,BST-21-40-,0
BST-21-41-01,BST-21-41-,1
BST-21-41-02,BST-21-41-,2
BST-21-41-03,BST-21-41-,3
BST-21-41-04,BST-21-41-,4
BST-21-42-02,BST-21-42-,2
BST-21-42-03,BST-21-42-,3
BST-21-42-05,BST-21-42-,5
BST-21-42-06,BST-21-42-,6
BST-21-42-07,BST-21-42-,7
BST-21-42-08,BST-21-42-,8
BST-21-42-09,BST-21-42-,9
BST-21-42-10,BST-21-42-,0
BST-21-42-11,BST-21-42-,1
BST-21-42-12,BST-21-42-,2
BST-21-42-15,BST-21-42-,5
BST-21-42-19,BST-21-42-,9
BST-21-42-20,BST-21-42-,0
BST-21-42-22,BST-21-42-,2
BST-21-42-23,BST-21-42-,3
BST-21-42-25,BST-21-42-,5
BST-21-42-26,BST-21-42-,6
BST-21-42-30,BST-21-42-,0
BST-21-42-32,BST-21-42-,2
BST-21-42-35,BST-21-42-,5
BST-21-42-36,BST-21-42-,6
BST-21-42-37,BST-21-42-,7
BST-21-42-38,BST-21-42-,8
BST21-42-42,BST21-42-,2
BST-21-42-43,BST-21-42-,3
BST-21-42-44,BST-21-42-,4
BST-21-42-46,BST-21-42-,6
BST-21-42-47,BST-21-42-,7
BST-21-42-49,BST-21-42-,9
BST-21-42-50,BST-21-42-,0
BST-21-42-51,BST-21-42-,1
BST-21-42-52,BST-21-42-,2
BST-21-42-54,BST-21-42-,4
BST-21-42-55,BST-21-42-,5
BST-21-42-56,BST-21-42-,6
BST-21-42-58,BST-21-42-,8
BST-21-42-60,BST-21-42-,0
BST-21-42-61,BST-21-42-,1
BST-21-42-62,BST-21-42-,2
BST-21-42-63,BST-21-42-,3
BST-21-42-64,BST-21-42-,4
BST-21-42-65,BST-21-42-,5
BST-21-42-66,BST-21-42-,6
BST-21-42-67,BST-21-42-,7
BST-21-43-01,BST-21-43-,1
BST-21-43-03,BST-21-43-,3
BST-21-43-04,BST-21-43-,4
